id,name,classification,type_1,type_2,height_m,weight_kg,capture_rate,abilities,hp,atk,def,sp_atk,sp_def,spd,total_stats,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fighting,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy,is_legendary,count
13,Weedle,Hairy Pokémon,Bug,Poison,0.3,3.2,255,Shield Dust,40,35,30,20,20,50,195,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
14,Kakuna,Cocoon Pokémon,Bug,Poison,0.6,10.0,120,Shed Skin,45,25,50,25,25,35,205,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
15,Beedrill,Poison Bee Pokémon,Bug,Poison,1.0,29.5,45,Swarm,65,90,40,45,80,75,395,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
16,Pidgey,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,255,"Keen Eye ,  Tangled Feet",40,45,40,35,35,56,251,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
17,Pidgeotto,Bird Pokémon,Normal,Flying,1.1,30.0,120,"Keen Eye ,  Tangled Feet",63,60,55,50,50,71,349,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
18,Pidgeot,Bird Pokémon,Normal,Flying,1.5,39.5,45,"Keen Eye ,  Tangled Feet",83,80,75,70,70,101,479,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
19,Rattata,Mouse Pokémon,Normal,,0.3,3.5,255,"Run Away ,  Guts ,  Alola Form Abilities ,  Hustle",30,56,35,25,35,72,253,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
20,Raticate,Mouse Pokémon,Normal,,0.7,18.5,127,"Run Away ,  Guts ,  Alola Form Abilities ,  Hustle",55,81,60,50,70,97,413,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
21,Spearow,Tiny Bird Pokémon,Normal,Flying,0.3,2.0,255,Keen Eye,40,60,30,31,31,70,262,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
22,Fearow,Beak Pokémon,Normal,Flying,1.2,38.0,90,Keen Eye,65,90,65,61,61,100,442,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
23,Ekans,Snake Pokémon,Poison,,2.0,6.9,255,"Intimidate ,  Shed Skin",35,60,44,40,54,55,288,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
24,Arbok,Cobra Pokémon,Poison,,3.5,65.0,90,"Intimidate ,  Shed Skin",60,95,69,65,79,80,448,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
25,Pikachu,Mouse Pokémon,Electric,,0.4,6.0,190,Static,35,55,40,50,50,90,320,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
26,Raichu,Mouse Pokémon,Electric,,0.8,30.0,75,"Static ,  Alola Form Abilities",60,90,55,90,80,110,485,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
27,Sandshrew,Mouse Pokémon,Ground,,0.6,12.0,255,"Sand Veil ,  Alola Form Abilities",50,75,85,20,30,40,300,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1
28,Sandslash,Mouse Pokémon,Ground,,1.0,29.5,90,"Sand Veil ,  Alola Form Abilities",75,100,110,45,55,65,450,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1
29,Nidoran♀,Poison Pin Pokémon,Poison,,0.4,7.0,235,"Poison Point ,  Rivalry",55,47,52,40,40,41,275,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
30,Nidorina,Poison Pin Pokémon,Poison,,0.8,20.0,120,"Poison Point ,  Rivalry",70,62,67,55,55,56,365,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
31,Nidoqueen,Drill Pokémon,Poison,Ground,1.3,60.0,45,"Poison Point ,  Rivalry",90,92,87,75,85,76,505,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,1
32,Nidoran♂,Poison Pin Pokémon,Poison,,0.5,9.0,235,"Poison Point ,  Rivalry",46,57,40,40,40,50,273,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
33,Nidorino,Poison Pin Pokémon,Poison,,0.9,19.5,120,"Poison Point ,  Rivalry",61,72,57,55,55,65,365,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
34,Nidoking,Drill Pokémon,Poison,Ground,1.4,62.0,45,"Poison Point ,  Rivalry",81,102,77,85,75,85,505,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,1
35,Clefairy,Fairy Pokémon,Fairy,,0.6,7.5,150,"Cute Charm ,  Magic Guard",70,45,48,60,65,35,323,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,1
36,Clefable,Fairy Pokémon,Fairy,,1.3,40.0,25,"Cute Charm ,  Magic Guard",95,70,73,95,90,60,483,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,1
37,Vulpix,Fox Pokémon,Fire,Ice,0.6,9.9,190,"Flash Fire ,  Alola Form Abilities",38,41,40,50,65,65,299,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
38,Ninetales,Fox Pokémon,Fire,,1.1,19.9,75,"Flash Fire ,  Alola Form Abilities",73,76,75,81,100,100,505,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
39,Jigglypuff,Balloon Pokémon,Normal,Fairy,0.5,5.5,170,"Cute Charm ,  Competitive",115,45,20,45,25,20,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,1
40,Wigglytuff,Balloon Pokémon,Normal,Fairy,1.0,12.0,50,"Cute Charm ,  Competitive",140,70,45,85,50,45,435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,1
41,Zubat,Bat Pokémon,Poison,Flying,0.8,7.5,255,Inner Focus,40,45,35,30,40,55,245,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,1
42,Golbat,Bat Pokémon,Poison,Flying,1.6,55.0,90,Inner Focus,75,80,70,65,75,90,455,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,1
43,Oddish,Weed Pokémon,Grass,Poison,0.5,5.4,255,Chlorophyll,45,50,55,75,65,30,320,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
44,Gloom,Weed Pokémon,Grass,Poison,0.8,8.6,120,Chlorophyll,60,65,70,85,75,40,395,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
45,Vileplume,Flower Pokémon,Grass,Poison,1.2,18.6,45,Chlorophyll,75,80,85,110,90,50,490,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
46,Paras,Mushroom Pokémon,Bug,Grass,0.3,5.4,190,"Effect Spore ,  Dry Skin",35,70,55,45,55,25,285,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
47,Parasect,Mushroom Pokémon,Bug,Grass,1.0,29.5,75,"Effect Spore ,  Dry Skin",60,95,80,60,80,30,405,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
48,Venonat,Insect Pokémon,Bug,Poison,1.0,30.0,190,"Compoundeyes ,  Tinted Lens",60,55,50,40,55,45,305,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
49,Venomoth,Poison Moth Pokémon,Bug,Poison,1.5,12.5,75,"Shield Dust ,  Tinted Lens",70,65,60,90,75,90,450,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
50,Diglett,Mole Pokémon,Ground,,0.2,0.8,255,"Sand Veil ,  Arena Trap ,  Alola Form Abilities ,  Tangling Hair",10,55,25,35,45,95,265,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1
51,Dugtrio,Mole Pokémon,Ground,,0.7,33.3,50,"Sand Veil ,  Arena Trap ,  Alola Form Abilities ,  Tangling Hair",35,100,50,50,70,120,425,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1
52,Meowth,Scratch Cat Pokémon,Normal,Dark,0.4,4.2,255,"Pickup ,  Technician ,  Alola Form Abilities ,  Technician",40,45,35,40,40,90,290,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
53,Persian,Classy Cat Pokémon,Normal,Dark,1.0,32.0,90,"Limber ,  Technician ,  Alola Form Abilities ,  Technician",65,70,60,65,65,115,440,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
54,Psyduck,Duck Pokémon,Water,,0.8,19.6,190,"Damp ,  Cloud Nine",50,52,48,65,50,55,320,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
55,Golduck,Duck Pokémon,Water,,1.7,76.6,75,"Damp ,  Cloud Nine",80,82,78,95,80,85,500,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
56,Mankey,Pig Monkey Pokémon,Fighting,,0.5,28.0,190,"Vital Spirit ,  Anger Point",40,80,35,35,45,70,305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
57,Primeape,Pig Monkey Pokémon,Fighting,,1.0,32.0,75,"Vital Spirit ,  Anger Point",65,105,60,60,70,95,455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
58,Growlithe,Puppy Pokémon,Fire,,0.7,19.0,190,"Intimidate ,  Flash Fire",55,70,45,70,50,60,350,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
59,Arcanine,Legendary Pokémon,Fire,,1.9,155.0,75,"Intimidate ,  Flash Fire",90,110,80,100,80,95,555,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
60,Poliwag,Tadpole Pokémon,Water,,0.6,12.4,255,"Water Absorb ,  Damp",40,50,40,40,40,90,300,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
61,Poliwhirl,Tadpole Pokémon,Water,,1.0,20.0,120,"Water Absorb ,  Damp",65,65,65,50,50,90,385,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
62,Poliwrath,Tadpole Pokémon,Water,Fighting,1.3,54.0,45,"Water Absorb ,  Damp",90,95,95,70,90,70,510,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,0,1
63,Abra,Psi Pokémon,Psychic,,0.9,19.5,200,"Synchronize ,  Inner Focus",25,20,15,105,55,90,310,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
64,Kadabra,Psi Pokémon,Psychic,,1.3,56.5,100,"Synchronize ,  Inner Focus",40,35,30,120,70,105,400,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
65,Alakazam,Psi Pokémon,Psychic,,1.5,48.0,50,"Synchronize ,  Inner Focus",55,50,45,135,95,120,500,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
66,Machop,Superpower Pokémon,Fighting,,0.8,19.5,180,"Guts ,  No Guard",70,80,50,35,35,35,305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
67,Machoke,Superpower Pokémon,Fighting,,1.5,70.5,90,"Guts ,  No Guard",80,100,70,50,60,45,405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
68,Machamp,Superpower Pokémon,Fighting,,1.6,130.0,45,"Guts ,  No Guard",90,130,80,65,85,55,505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
69,Bellsprout,Flower Pokémon,Grass,Poison,0.7,4.0,255,Chlorophyll,50,75,35,70,30,40,300,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
70,Weepinbell,Flycatcher Pokémon,Grass,Poison,1.0,6.4,120,Chlorophyll,65,90,50,85,45,55,390,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
71,Victreebel,Flycatcher Pokémon,Grass,Poison,1.7,15.5,45,Chlorophyll,80,105,65,100,70,70,490,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,1
72,Tentacool,Jellyfish Pokémon,Water,Poison,0.9,45.5,190,"Clear Body ,  Liquid Ooze",40,40,35,50,100,70,335,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0,1
73,Tentacruel,Jellyfish Pokémon,Water,Poison,1.6,55.0,60,"Clear Body ,  Liquid Ooze",80,70,65,80,120,100,515,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0,1
74,Geodude,Rock Pokémon,Rock,,0.4,20.0,255,"Rock Head ,  Sturdy ,  Alola Form Abilities ,  Sturdy",40,80,100,30,30,20,300,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,1
75,Graveler,Rock Pokémon,Rock,,1.0,105.0,120,"Rock Head ,  Sturdy ,  Alola Form Abilities ,  Sturdy",55,95,115,45,45,35,390,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,1
76,Golem,Megaton Pokémon,Rock,,1.4,300.0,45,"Rock Head ,  Sturdy ,  Alola Form Abilities ,  Sturdy",80,120,130,55,65,45,495,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,1
77,Ponyta,Fire Horse Pokémon,Fire,,1.0,30.0,190,"Run Away ,  Flash Fire",50,85,55,65,65,90,410,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
78,Rapidash,Fire Horse Pokémon,Fire,,1.7,95.0,60,"Run Away ,  Flash Fire",65,100,70,80,80,105,500,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
79,Slowpoke,Dopey Pokémon,Water,Psychic,1.2,36.0,190,"Oblivious ,  Own Tempo",90,65,65,40,40,15,315,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,1
80,Slowbro,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,75,"Oblivious ,  Own Tempo",95,75,110,100,80,30,490,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,1
81,Magnemite,Magnet Pokémon,Electric,Steel,0.3,6.0,190,"Magnet Pull ,  Sturdy",25,35,70,95,55,45,325,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,0,1
82,Magneton,Magnet Pokémon,Electric,Steel,1.0,60.0,60,"Magnet Pull ,  Sturdy",50,60,95,120,70,70,465,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,0,1
83,Farfetch'd,Wild Duck Pokémon,Normal,Flying,0.8,15.0,45,"Keen Eye ,  Inner Focus",52,90,55,58,62,60,377,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
84,Doduo,Twin Bird Pokémon,Normal,Flying,1.4,39.2,190,"Run Away ,  Early Bird",35,85,45,35,35,75,310,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
85,Dodrio,Triple Bird Pokémon,Normal,Flying,1.8,85.2,45,"Run Away ,  Early Bird",60,110,70,60,60,110,470,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
86,Seel,Sea Lion Pokémon,Water,,1.1,90.0,190,"Thick Fat ,  Hydration",65,45,55,45,70,45,325,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
87,Dewgong,Sea Lion Pokémon,Water,Ice,1.7,120.0,75,"Thick Fat ,  Hydration",90,70,80,70,95,70,475,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
88,Grimer,Sludge Pokémon,Poison,,0.9,30.0,190,"Stench ,  Sticky Hold ,  Alola Form Abilities ,  Gluttony",80,80,50,40,50,25,325,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
89,Muk,Sludge Pokémon,Poison,,1.2,30.0,75,"Stench ,  Sticky Hold ,  Alola Form Abilities ,  Gluttony",105,105,75,65,100,50,500,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
90,Shellder,Bivalve Pokémon,Water,,0.3,4.0,190,"Shell Armor ,  Skill Link",30,65,100,45,25,40,305,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
91,Cloyster,Bivalve Pokémon,Water,Ice,1.5,132.5,60,"Shell Armor ,  Skill Link",50,95,180,85,45,70,525,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
92,Gastly,Gas Pokémon,Ghost,Poison,1.3,0.1,190,Levitate,30,35,30,100,35,80,310,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,0,1
93,Haunter,Gas Pokémon,Ghost,Poison,1.6,0.1,90,Levitate,45,50,45,115,55,95,405,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,0,1
94,Gengar,Shadow Pokémon,Ghost,Poison,1.5,40.5,45,Cursed Body,60,65,60,130,75,110,500,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,0,1
95,Onix,Rock Snake Pokémon,Rock,Ground,8.8,210.0,45,"Rock Head ,  Sturdy",35,45,160,30,45,70,385,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,1
96,Drowzee,Hypnosis Pokémon,Psychic,,1.0,32.4,190,"Insomnia ,  Forewarn",60,48,45,43,90,42,328,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
97,Hypno,Hypnosis Pokémon,Psychic,,1.6,75.6,75,"Insomnia ,  Forewarn",85,73,70,73,115,67,483,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
