id,name,typing,classification,height_m,weight_kg,capture_rate,abilities,hp,atk,def,sp_atk,sp_def,spd,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fighting,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy
11,Metapod,['Bug'],Cocoon Pokémon,0.7,9.9,120,['Shed Skin'],50,20,55,25,25,30,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree,"['Bug', 'Flying']",Butterfly Pokémon,1.1,32.0,45,['Compoundeyes'],60,45,50,90,80,70,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
13,Weedle,"['Bug', 'Poison']",Hairy Pokémon,0.3,3.2,255,['Shield Dust'],40,35,30,20,20,50,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
14,Kakuna,"['Bug', 'Poison']",Cocoon Pokémon,0.6,10.0,120,['Shed Skin'],45,25,50,25,25,35,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Beedrill,"['Bug', 'Poison']",Poison Bee Pokémon,1.0,29.5,45,['Swarm'],65,90,40,45,80,75,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
16,Pidgey,"['Normal', 'Flying']",Tiny Bird Pokémon,0.3,1.8,255,"['Keen Eye', 'Tangled Feet']",40,45,40,35,35,56,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
17,Pidgeotto,"['Normal', 'Flying']",Bird Pokémon,1.1,30.0,120,"['Keen Eye', 'Tangled Feet']",63,60,55,50,50,71,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Pidgeot,"['Normal', 'Flying']",Bird Pokémon,1.5,39.5,45,"['Keen Eye', 'Tangled Feet']",83,80,75,70,70,101,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
19,Rattata,"['Normal', 'Dark', 'Normal']",Mouse Pokémon,0.3,3.5,255,"['Run Away', 'Guts', 'Alola Form Abilities', 'Hustle']",30,56,35,25,35,72,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,Raticate,"['Normal', 'Dark', 'Normal']",Mouse Pokémon,0.7,18.5,127,"['Run Away', 'Guts', 'Alola Form Abilities', 'Hustle']",55,81,60,50,70,97,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
21,Spearow,"['Normal', 'Flying']",Tiny Bird Pokémon,0.3,2.0,255,['Keen Eye'],40,60,30,31,31,70,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,Fearow,"['Normal', 'Flying']",Beak Pokémon,1.2,38.0,90,['Keen Eye'],65,90,65,61,61,100,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,Ekans,['Poison'],Snake Pokémon,2.0,6.9,255,"['Intimidate', 'Shed Skin']",35,60,44,40,54,55,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,Arbok,['Poison'],Cobra Pokémon,3.5,65.0,90,"['Intimidate', 'Shed Skin']",60,95,69,65,79,80,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
25,Pikachu,['Electric'],Mouse Pokémon,0.4,6.0,190,['Static'],35,55,40,50,50,90,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,"['Electric', 'Electric', 'Psychic']",Mouse Pokémon,0.8,30.0,75,"['Static', 'Alola Form Abilities']",60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,"['Ground', 'Ice', 'Steel']",Mouse Pokémon,0.6,12.0,255,"['Sand Veil', 'Alola Form Abilities']",50,75,85,20,30,40,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,Sandslash,"['Ground', 'Ice', 'Steel']",Mouse Pokémon,1.0,29.5,90,"['Sand Veil', 'Alola Form Abilities']",75,100,110,45,55,65,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
29,Nidoran♀,['Poison'],Poison Pin Pokémon,0.4,7.0,235,"['Poison Point', 'Rivalry']",55,47,52,40,40,41,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,Nidorina,['Poison'],Poison Pin Pokémon,0.8,20.0,120,"['Poison Point', 'Rivalry']",70,62,67,55,55,56,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,Nidoqueen,"['Poison', 'Ground']",Drill Pokémon,1.3,60.0,45,"['Poison Point', 'Rivalry']",90,92,87,75,85,76,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
32,Nidoran♂,['Poison'],Poison Pin Pokémon,0.5,9.0,235,"['Poison Point', 'Rivalry']",46,57,40,40,40,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,Nidorino,['Poison'],Poison Pin Pokémon,0.9,19.5,120,"['Poison Point', 'Rivalry']",61,72,57,55,55,65,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
34,Nidoking,"['Poison', 'Ground']",Drill Pokémon,1.4,62.0,45,"['Poison Point', 'Rivalry']",81,102,77,85,75,85,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
35,Clefairy,['Fairy'],Fairy Pokémon,0.6,7.5,150,"['Cute Charm', 'Magic Guard']",70,45,48,60,65,35,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,Clefable,['Fairy'],Fairy Pokémon,1.3,40.0,25,"['Cute Charm', 'Magic Guard']",95,70,73,95,90,60,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
37,Vulpix,"['Fire', 'Ice']",Fox Pokémon,0.6,9.9,190,"['Flash Fire', 'Alola Form Abilities']",38,41,40,50,65,65,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Ninetales,"['Fire', 'Ice', 'Fairy']",Fox Pokémon,1.1,19.9,75,"['Flash Fire', 'Alola Form Abilities']",73,76,75,81,100,100,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
39,Jigglypuff,"['Normal', 'Fairy']",Balloon Pokémon,0.5,5.5,170,"['Cute Charm', 'Competitive']",115,45,20,45,25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
40,Wigglytuff,"['Normal', 'Fairy']",Balloon Pokémon,1.0,12.0,50,"['Cute Charm', 'Competitive']",140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
41,Zubat,"['Poison', 'Flying']",Bat Pokémon,0.8,7.5,255,['Inner Focus'],40,45,35,30,40,55,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
42,Golbat,"['Poison', 'Flying']",Bat Pokémon,1.6,55.0,90,['Inner Focus'],75,80,70,65,75,90,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
43,Oddish,"['Grass', 'Poison']",Weed Pokémon,0.5,5.4,255,['Chlorophyll'],45,50,55,75,65,30,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,Gloom,"['Grass', 'Poison']",Weed Pokémon,0.8,8.6,120,['Chlorophyll'],60,65,70,85,75,40,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
45,Vileplume,"['Grass', 'Poison']",Flower Pokémon,1.2,18.6,45,['Chlorophyll'],75,80,85,110,90,50,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
46,Paras,"['Bug', 'Grass']",Mushroom Pokémon,0.3,5.4,190,"['Effect Spore', 'Dry Skin']",35,70,55,45,55,25,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
47,Parasect,"['Bug', 'Grass']",Mushroom Pokémon,1.0,29.5,75,"['Effect Spore', 'Dry Skin']",60,95,80,60,80,30,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
48,Venonat,"['Bug', 'Poison']",Insect Pokémon,1.0,30.0,190,"['Compoundeyes', 'Tinted Lens']",60,55,50,40,55,45,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
49,Venomoth,"['Bug', 'Poison']",Poison Moth Pokémon,1.5,12.5,75,"['Shield Dust', 'Tinted Lens']",70,65,60,90,75,90,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
50,Diglett,"['Ground', 'Ground', 'Steel']",Mole Pokémon,0.2,0.8,255,"['Sand Veil', 'Arena Trap', 'Alola Form Abilities', 'Tangling Hair']",10,55,25,35,45,95,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
51,Dugtrio,"['Ground', 'Ground', 'Steel']",Mole Pokémon,0.7,33.3,50,"['Sand Veil', 'Arena Trap', 'Alola Form Abilities', 'Tangling Hair']",35,100,50,50,70,120,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
52,Meowth,"['Normal', 'Dark']",Scratch Cat Pokémon,0.4,4.2,255,"['Pickup', 'Technician', 'Alola Form Abilities', 'Technician']",40,45,35,40,40,90,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,Persian,"['Normal', 'Dark']",Classy Cat Pokémon,1.0,32.0,90,"['Limber', 'Technician', 'Alola Form Abilities', 'Technician']",65,70,60,65,65,115,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
54,Psyduck,['Water'],Duck Pokémon,0.8,19.6,190,"['Damp', 'Cloud Nine']",50,52,48,65,50,55,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
55,Golduck,['Water'],Duck Pokémon,1.7,76.6,75,"['Damp', 'Cloud Nine']",80,82,78,95,80,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
56,Mankey,['Fighting'],Pig Monkey Pokémon,0.5,28.0,190,"['Vital Spirit', 'Anger Point']",40,80,35,35,45,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
57,Primeape,['Fighting'],Pig Monkey Pokémon,1.0,32.0,75,"['Vital Spirit', 'Anger Point']",65,105,60,60,70,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
58,Growlithe,['Fire'],Puppy Pokémon,0.7,19.0,190,"['Intimidate', 'Flash Fire']",55,70,45,70,50,60,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
59,Arcanine,['Fire'],Legendary Pokémon,1.9,155.0,75,"['Intimidate', 'Flash Fire']",90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
60,Poliwag,['Water'],Tadpole Pokémon,0.6,12.4,255,"['Water Absorb', 'Damp']",40,50,40,40,40,90,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
61,Poliwhirl,['Water'],Tadpole Pokémon,1.0,20.0,120,"['Water Absorb', 'Damp']",65,65,65,50,50,90,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
62,Poliwrath,"['Water', 'Fighting']",Tadpole Pokémon,1.3,54.0,45,"['Water Absorb', 'Damp']",90,95,95,70,90,70,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
63,Abra,['Psychic'],Psi Pokémon,0.9,19.5,200,"['Synchronize', 'Inner Focus']",25,20,15,105,55,90,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
64,Kadabra,['Psychic'],Psi Pokémon,1.3,56.5,100,"['Synchronize', 'Inner Focus']",40,35,30,120,70,105,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
65,Alakazam,['Psychic'],Psi Pokémon,1.5,48.0,50,"['Synchronize', 'Inner Focus']",55,50,45,135,95,120,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
66,Machop,['Fighting'],Superpower Pokémon,0.8,19.5,180,"['Guts', 'No Guard']",70,80,50,35,35,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
67,Machoke,['Fighting'],Superpower Pokémon,1.5,70.5,90,"['Guts', 'No Guard']",80,100,70,50,60,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
68,Machamp,['Fighting'],Superpower Pokémon,1.6,130.0,45,"['Guts', 'No Guard']",90,130,80,65,85,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
69,Bellsprout,"['Grass', 'Poison']",Flower Pokémon,0.7,4.0,255,['Chlorophyll'],50,75,35,70,30,40,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
70,Weepinbell,"['Grass', 'Poison']",Flycatcher Pokémon,1.0,6.4,120,['Chlorophyll'],65,90,50,85,45,55,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
71,Victreebel,"['Grass', 'Poison']",Flycatcher Pokémon,1.7,15.5,45,['Chlorophyll'],80,105,65,100,70,70,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
72,Tentacool,"['Water', 'Poison']",Jellyfish Pokémon,0.9,45.5,190,"['Clear Body', 'Liquid Ooze']",40,40,35,50,100,70,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
73,Tentacruel,"['Water', 'Poison']",Jellyfish Pokémon,1.6,55.0,60,"['Clear Body', 'Liquid Ooze']",80,70,65,80,120,100,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
74,Geodude,"['Rock', 'Ground', 'Rock', 'Electric']",Rock Pokémon,0.4,20.0,255,"['Rock Head', 'Sturdy', 'Alola Form Abilities', 'Sturdy']",40,80,100,30,30,20,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
75,Graveler,"['Rock', 'Ground', 'Rock', 'Electric']",Rock Pokémon,1.0,105.0,120,"['Rock Head', 'Sturdy', 'Alola Form Abilities', 'Sturdy']",55,95,115,45,45,35,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
76,Golem,"['Rock', 'Ground', 'Rock', 'Electric']",Megaton Pokémon,1.4,300.0,45,"['Rock Head', 'Sturdy', 'Alola Form Abilities', 'Sturdy']",80,120,130,55,65,45,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
77,Ponyta,['Fire'],Fire Horse Pokémon,1.0,30.0,190,"['Run Away', 'Flash Fire']",50,85,55,65,65,90,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,Rapidash,['Fire'],Fire Horse Pokémon,1.7,95.0,60,"['Run Away', 'Flash Fire']",65,100,70,80,80,105,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
79,Slowpoke,"['Water', 'Psychic']",Dopey Pokémon,1.2,36.0,190,"['Oblivious', 'Own Tempo']",90,65,65,40,40,15,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
80,Slowbro,"['Water', 'Psychic']",Hermit Crab Pokémon,1.6,78.5,75,"['Oblivious', 'Own Tempo']",95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
81,Magnemite,"['Electric', 'Steel']",Magnet Pokémon,0.3,6.0,190,"['Magnet Pull', 'Sturdy']",25,35,70,95,55,45,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
82,Magneton,"['Electric', 'Steel']",Magnet Pokémon,1.0,60.0,60,"['Magnet Pull', 'Sturdy']",50,60,95,120,70,70,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
83,Farfetch'd,"['Normal', 'Flying']",Wild Duck Pokémon,0.8,15.0,45,"['Keen Eye', 'Inner Focus']",52,90,55,58,62,60,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
84,Doduo,"['Normal', 'Flying']",Twin Bird Pokémon,1.4,39.2,190,"['Run Away', 'Early Bird']",35,85,45,35,35,75,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
85,Dodrio,"['Normal', 'Flying']",Triple Bird Pokémon,1.8,85.2,45,"['Run Away', 'Early Bird']",60,110,70,60,60,110,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
86,Seel,['Water'],Sea Lion Pokémon,1.1,90.0,190,"['Thick Fat', 'Hydration']",65,45,55,45,70,45,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
87,Dewgong,"['Water', 'Ice']",Sea Lion Pokémon,1.7,120.0,75,"['Thick Fat', 'Hydration']",90,70,80,70,95,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
88,Grimer,"['Poison', 'Poison', 'Dark']",Sludge Pokémon,0.9,30.0,190,"['Stench', 'Sticky Hold', 'Alola Form Abilities', 'Gluttony']",80,80,50,40,50,25,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
89,Muk,"['Poison', 'Poison', 'Dark']",Sludge Pokémon,1.2,30.0,75,"['Stench', 'Sticky Hold', 'Alola Form Abilities', 'Gluttony']",105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
90,Shellder,['Water'],Bivalve Pokémon,0.3,4.0,190,"['Shell Armor', 'Skill Link']",30,65,100,45,25,40,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
91,Cloyster,"['Water', 'Ice']",Bivalve Pokémon,1.5,132.5,60,"['Shell Armor', 'Skill Link']",50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
92,Gastly,"['Ghost', 'Poison']",Gas Pokémon,1.3,0.1,190,['Levitate'],30,35,30,100,35,80,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
93,Haunter,"['Ghost', 'Poison']",Gas Pokémon,1.6,0.1,90,['Levitate'],45,50,45,115,55,95,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
94,Gengar,"['Ghost', 'Poison']",Shadow Pokémon,1.5,40.5,45,['Cursed Body'],60,65,60,130,75,110,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
95,Onix,"['Rock', 'Ground']",Rock Snake Pokémon,8.8,210.0,45,"['Rock Head', 'Sturdy']",35,45,160,30,45,70,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
96,Drowzee,['Psychic'],Hypnosis Pokémon,1.0,32.4,190,"['Insomnia', 'Forewarn']",60,48,45,43,90,42,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
97,Hypno,['Psychic'],Hypnosis Pokémon,1.6,75.6,75,"['Insomnia', 'Forewarn']",85,73,70,73,115,67,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
